Rank,Journal Name,Abbreviated Journal,Publisher,JIF,5-Year JIF,JIF Without Self-Cites,JCI,JIF Quartile,Category,ISSN,eISSN,Total Cites,Total Articles,Citable Items,Cited Half-Life,Citing Half-Life,JIF Rank
11,NATURE REVIEWS CANCER,NAT REV CANCER,NATURE PORTFOLIO,66.8,81.0,66.4,9.04,Q1,ONCOLOGY|Q1|3/322,1474-175X,1474-1768,60054,17,63,9.4,5.4,3/326
12,World Psychiatry,WORLD PSYCHIATRY,WILEY,65.8,60.0,60.7,12.18,Q1,PSYCHIATRY|Q1|1/276,1723-8617,2051-5545,13954,21,21,6.3,6.4,1/288
13,ANNALS OF ONCOLOGY,ANN ONCOL,ELSEVIER,65.4,46.8,64.5,8.38,Q1,ONCOLOGY|Q1|4/322,0923-7534,1569-8041,64093,74,80,6.3,4.3,4/326
14,Living Reviews in Relativity,LIVING REV RELATIV,SPRINGER INT PUBL AG,62.5,52.4,62.5,5.86,Q1,"PHYSICS, PARTICLES & FIELDS|Q1|1/30",2367-3613,1433-8351,5042,0,6,11.0,13.3,1/31
15,NATURE REVIEWS IMMUNOLOGY,NAT REV IMMUNOL,NATURE PORTFOLIO,60.9,77.6,60.5,7.86,Q1,IMMUNOLOGY|Q1|1/181,1474-1733,1474-1741,64754,76,124,8.6,6.8,1/183
16,Nature Reviews Disease Primers,NAT REV DIS PRIMERS,NATURE PORTFOLIO,60.6,104.8,60.6,21.18,Q1,"MEDICINE, GENERAL & INTERNAL|Q1|4/325",2056-676X,2056-676X,37841,4,42,5.8,6.9,3/332
17,MMWR Recommendations and Reports,MMWR RECOMM REP,CENTERS DISEASE CONTROL & PREVENTION,60.1,50.0,60.0,10.91,Q1,,1057-5987,1545-8601,3411,6,6,8.0,14.9,1/419
17,Nature Energy,NAT ENERGY,NATURE PORTFOLIO,60.1,68.9,59.4,8.48,Q1,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|2/438",2058-7546,2058-7546,55904,214,222,4.8,4.7,2/460
19,Nature Reviews Methods Primers,NAT REV METHOD PRIME,SPRINGERNATURE,56.0,66.9,55.8,9.39,Q1,MULTIDISCIPLINARY SCIENCES|Q1|2/134,N/A,2662-8449,9349,26,64,2.7,6.5,1/135
20,CHEMICAL REVIEWS,CHEM REV,AMER CHEMICAL SOC,55.8,67.5,55.3,4.03,Q1,"CHEMISTRY, MULTIDISCIPLINARY|Q1|1/230",0009-2665,1520-6890,246622,0,212,8.3,7.4,1/239
21,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-J AM MED ASSOC,AMER MEDICAL ASSOC,55.0,64.7,53.9,11.47,Q1,"MEDICINE, GENERAL & INTERNAL|Q1|5/325",0098-7484,1538-3598,194087,180,232,8.6,5.5,4/332
22,Signal Transduction and Targeted Therapy,SIGNAL TRANSDUCT TAR,SPRINGERNATURE,52.7,52.2,52.1,5.04,Q1,CELL BIOLOGY|Q1|5/205,2095-9907,2059-3635,51196,156,245,2.8,6.0,1/319
23,NATURE REVIEWS GENETICS,NAT REV GENET,NATURE PORTFOLIO,52.0,57.1,51.5,6.66,Q1,GENETICS & HEREDITY|Q1|1/191,1471-0056,1471-0064,42931,0,54,9.1,5.9,1/191
24,Nature Reviews Chemistry,NAT REV CHEM,NATURE PORTFOLIO,51.7,49.4,51.4,3.28,Q1,"CHEMISTRY, MULTIDISCIPLINARY|Q1|3/230",N/A,2397-3358,16326,0,48,4.1,6.4,2/239
25,Nature Reviews Gastroenterology & Hepatology,NAT REV GASTRO HEPAT,NATURE PORTFOLIO,51.0,72.4,50.4,8.10,Q1,GASTROENTEROLOGY & HEPATOLOGY|Q1|1/143,1759-5045,1759-5053,30358,0,48,5.3,5.9,1/147
26,NATURE MEDICINE,NAT MED,NATURE PORTFOLIO,50.0,52.4,49.2,11.03,Q1,"MEDICINE, RESEARCH & EXPERIMENTAL|Q1|1/189",1078-8956,1546-170X,133694,325,343,6.3,5.0,1/195
27,MMWR Surveillance Summaries,MMWR SURVEILL SUMM,CENTERS DISEASE CONTROL & PREVENTION,49.8,34.1,49.8,15.95,Q1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q1|1/403",1545-8636,1545-8636,3499,3,3,6.1,N/A,2/419
28,NATURE,NATURE,NATURE PORTFOLIO,48.5,55.0,47.7,11.12,Q1,MULTIDISCIPLINARY SCIENCES|Q1|1/134,0028-0836,1476-4687,965275,1361,1393,10.0,7.2,2/135
29,IEEE Communications Surveys and Tutorials,IEEE COMMUN SURV TUT,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,46.7,42.8,45.6,10.20,Q1,TELECOMMUNICATIONS|Q1|1/119,N/A,1553-877X,33160,74,74,5.2,5.2,1/258
30,SCIENCE,SCIENCE,AMER ASSOC ADVANCEMENT SCIENCE,45.8,49.7,45.3,8.98,Q1,MULTIDISCIPLINARY SCIENCES|Q1|3/134,0036-8075,1095-9203,785913,768,800,11.5,7.5,3/135
31,LANCET NEUROLOGY,LANCET NEUROL,ELSEVIER SCIENCE INC,45.5,56.2,44.6,12.19,Q1,CLINICAL NEUROLOGY|Q1|1/277,1474-4422,1474-4465,52666,61,79,7.2,4.6,1/285
32,REVIEWS OF MODERN PHYSICS,REV MOD PHYS,AMER PHYSICAL SOC,44.8,56.3,44.6,4.08,Q1,"PHYSICS, MULTIDISCIPLINARY|Q1|1/110",0034-6861,1539-0756,65614,0,32,14.9,9.9,1/114
33,Nature Catalysis,NAT CATAL,NATURE PORTFOLIO,44.6,47.4,44.2,5.63,Q1,"CHEMISTRY, PHYSICAL|Q1|1/178",2520-1158,2520-1158,32070,156,165,4.1,6.5,1/185
34,CANCER CELL,CANCER CELL,CELL PRESS,44.5,47.2,43.9,8.11,Q1,ONCOLOGY|Q1|5/322,1535-6108,1878-3686,56241,105,112,7.0,5.8,5/326
35,Nature Reviews Cardiology,NAT REV CARDIOL,NATURE PORTFOLIO,44.2,52.9,43.7,8.32,Q1,CARDIAC & CARDIOVASCULAR SYSTEMS|Q1|1/220,1759-5002,1759-5010,22153,4,52,4.9,7.0,1/230
36,BMJ-British Medical Journal,BMJ-BRIT MED J,BMJ PUBLISHING GROUP,42.7,76.1,40.4,9.96,Q1,"MEDICINE, GENERAL & INTERNAL|Q1|3/325",0959-535X,1756-1833,173910,132,153,8.6,3.9,5/332
37,CELL,CELL,CELL PRESS,42.5,48.9,41.9,7.99,Q1,CELL BIOLOGY|Q1|4/205,0092-8674,1097-4172,310873,357,409,9.3,7.3,3/319
38,JOURNAL OF CLINICAL ONCOLOGY,J CLIN ONCOL,LIPPINCOTT WILLIAMS & WILKINS,41.9,37.7,41.1,6.68,Q1,ONCOLOGY|Q1|6/322,0732-183X,1527-7755,169483,342,365,7.8,5.9,6/326
39,Lancet Diabetes & Endocrinology,LANCET DIABETES ENDO,ELSEVIER SCIENCE INC,41.8,41.7,41.1,8.50,Q1,ENDOCRINOLOGY & METABOLISM|Q1|1/186,2213-8587,2213-8595,22003,56,67,5.1,5.3,1/191
40,NATURE BIOTECHNOLOGY,NAT BIOTECHNOL,NATURE PORTFOLIO,41.7,59.5,41.0,8.57,Q1,BIOTECHNOLOGY & APPLIED MICROBIOLOGY|Q1|2/174,1087-0156,1546-1696,100474,256,265,6.9,5.8,2/177
41,Nature Electronics,NAT ELECTRON,NATURE PORTFOLIO,40.9,42.0,40.1,5.80,Q1,"ENGINEERING, ELECTRICAL & ELECTRONIC|Q1|1/352",2520-1131,2520-1131,20582,146,156,3.8,5.3,1/366
42,Journal of Hematology & Oncology,J HEMATOL ONCOL,BMC,40.4,34.4,40.0,5.04,Q1,ONCOLOGY|Q1|9/322,N/A,1756-8722,27071,33,79,4.1,4.9,1/98
43,Nature Reviews Endocrinology,NAT REV ENDOCRINOL,NATURE PORTFOLIO,40.0,47.0,39.6,4.95,Q1,ENDOCRINOLOGY & METABOLISM|Q1|2/186,1759-5029,1759-5037,23507,3,50,6.2,6.7,2/191
43,PROGRESS IN MATERIALS SCIENCE,PROG MATER SCI,PERGAMON-ELSEVIER SCIENCE LTD,40.0,44.8,39.6,2.42,Q1,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|7/438",0079-6425,1873-2208,36931,0,126,5.8,5.4,3/460
45,Nature Reviews Nephrology,NAT REV NEPHROL,NATURE PORTFOLIO,39.8,44.5,39.3,7.36,Q1,UROLOGY & NEPHROLOGY|Q1|1/126,1759-5061,1759-507X,19202,3,48,5.3,6.9,2/133
46,Nature Reviews Physics,NAT REV PHYS,NATURE PORTFOLIO,39.5,53.2,39.2,3.03,Q1,"PHYSICS, MULTIDISCIPLINARY|Q1|2/110",N/A,2522-5820,12208,0,48,3.6,6.4,1/187
47,CHEMICAL SOCIETY REVIEWS,CHEM SOC REV,ROYAL SOC CHEMISTRY,39.0,50.1,38.6,2.95,Q1,"CHEMISTRY, MULTIDISCIPLINARY|Q1|2/230",0306-0012,1460-4744,183460,0,309,7.4,5.8,3/239
48,CIRCULATION,CIRCULATION,LIPPINCOTT WILLIAMS & WILKINS,38.6,35.9,37.7,9.01,Q1,PERIPHERAL VASCULAR DISEASE|Q1|1/96,0009-7322,1524-4539,177978,246,310,10.5,6.5,1/98
48,Lancet Gastroenterology & Hepatology,LANCET GASTROENTEROL,ELSEVIER INC,38.6,34.0,38.1,6.90,Q1,GASTROENTEROLOGY & HEPATOLOGY|Q1|2/143,N/A,2468-1253,16102,52,68,3.7,4.9,2/147
50,NATURE MATERIALS,NAT MATER,NATURE PORTFOLIO,38.5,46.8,38.2,5.99,Q1,"PHYSICS, CONDENSED MATTER|Q1|1/79",1476-1122,1476-4660,115316,271,281,8.3,6.7,1/79
51,Nature Reviews Bioengineering,NAT REV BIOENG,SPRINGERNATURE,37.6,37.6,36.8,3.25,Q1,,N/A,2731-6092,2516,1,72,1.3,5.7,1/124
52,REVIEWS OF GEOPHYSICS,REV GEOPHYS,AMER GEOPHYSICAL UNION,37.3,34.6,37.2,3.26,Q1,GEOCHEMISTRY & GEOPHYSICS|Q1|1/101,8755-1209,1944-9208,18402,0,15,12.8,9.1,1/100
53,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROG ENERG COMBUST,PERGAMON-ELSEVIER SCIENCE LTD,37.0,39.3,36.8,2.67,Q1,THERMODYNAMICS|Q1|1/76,0360-1285,1873-216X,18841,0,27,7.8,7.9,1/175
54,eScience,ESCIENCE,KEAI PUBLISHING LTD,36.6,35.9,35.9,5.58,Q1,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|3/438",2097-2431,2667-1417,5679,40,63,1.8,4.7,5/460
55,Nano-Micro Letters,NANO-MICRO LETT,SHANGHAI JIAO TONG UNIV PRESS,36.3,30.1,34.6,5.04,Q1,"PHYSICS, APPLIED|Q1|4/179",2311-6706,2150-5551,35542,186,266,2.6,4.2,2/147
55,Electrochemical Energy Reviews,ELECTROCHEM ENERGY R,SPRINGERNATURE,36.3,34.1,35.7,2.36,Q1,ELECTROCHEMISTRY|Q1|2/45,2520-8489,2520-8136,5833,0,34,3.3,5.4,2/44
57,LANCET ONCOLOGY,LANCET ONCOL,ELSEVIER SCIENCE INC,35.9,42.0,35.3,8.68,Q1,ONCOLOGY|Q1|7/322,1470-2045,1474-5488,74077,140,168,6.7,4.7,8/326
58,EUROPEAN HEART JOURNAL,EUR HEART J,OXFORD UNIV PRESS,35.6,34.4,32.6,8.05,Q1,CARDIAC & CARDIOVASCULAR SYSTEMS|Q1|2/220,0195-668X,1522-9645,90583,264,340,5.7,5.2,3/230
59,Joule,JOULE,CELL PRESS,35.4,43.7,34.8,4.00,Q1,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|4/438",2542-4351,2542-4351,44869,146,183,4.4,4.6,3/185
60,Nature Nanotechnology,NAT NANOTECHNOL,NATURE PORTFOLIO,34.9,40.4,34.6,5.00,Q1,NANOSCIENCE & NANOTECHNOLOGY|Q1|2/140,1748-3387,1748-3395,80966,195,208,7.1,6.0,8/460
61,Annual Review of Pathology-Mechanisms of Disease,ANNU REV PATHOL-MECH,ANNUAL REVIEWS,34.5,39.7,34.4,6.80,Q1,PATHOLOGY|Q1|1/88,1553-4006,1553-4014,9486,0,22,6.7,7.4,1/90
62,Molecular Cancer,MOL CANCER,BMC,33.9,35.9,33.3,5.04,Q1,ONCOLOGY|Q1|10/322,N/A,1476-4598,42332,124,218,4.6,4.9,4/319
63,Cancer Discovery,CANCER DISCOV,AMER ASSOC CANCER RESEARCH,33.3,33.0,32.8,6.22,Q1,ONCOLOGY|Q1|8/322,2159-8274,2159-8290,36517,98,108,5.1,5.8,10/326
63,Annual Review of Immunology,ANNU REV IMMUNOL,ANNUAL REVIEWS,33.3,37.7,33.2,3.64,Q1,IMMUNOLOGY|Q1|3/181,0732-0582,1545-3278,19882,0,25,11.5,7.7,2/183
65,iMeta,IMETA,WILEY,33.2,33.2,32.0,5.37,Q1,MICROBIOLOGY|Q1|2/161,2770-5986,2770-596X,3418,50,56,2.1,5.6,2/163
66,Nature Reviews Neurology,NAT REV NEUROL,NATURE PORTFOLIO,33.1,43.4,32.8,5.70,Q1,CLINICAL NEUROLOGY|Q1|2/277,1759-4758,1759-4766,22117,3,48,6.2,5.5,2/285
67,JOURNAL OF HEPATOLOGY,J HEPATOL,ELSEVIER,33.0,28.1,31.7,6.33,Q1,GASTROENTEROLOGY & HEPATOLOGY|Q1|3/143,0168-8278,1600-0641,64858,146,159,5.9,5.6,3/147
68,Nature Photonics,NAT PHOTONICS,NATURE PORTFOLIO,32.9,38.2,32.3,7.47,Q1,"PHYSICS, APPLIED|Q1|3/179",1749-4885,1749-4893,61047,150,158,7.7,6.3,1/125
69,Lancet Respiratory Medicine,LANCET RESP MED,ELSEVIER SCI LTD,32.8,35.4,32.6,8.78,Q1,RESPIRATORY SYSTEM|Q1|1/100,2213-2600,N/A,22960,58,67,4.5,5.1,1/108
70,Nature Reviews Rheumatology,NAT REV RHEUMATOL,NATURE PORTFOLIO,32.7,35.7,32.2,5.44,Q1,RHEUMATOLOGY|Q1|1/57,1759-4790,1759-4804,17758,10,55,6.1,5.9,1/58
71,Annual Review of Astronomy and Astrophysics,ANNU REV ASTRON ASTR,ANNUAL REVIEWS,32.5,41.2,32.0,3.72,Q1,ASTRONOMY & ASTROPHYSICS|Q1|2/84,0066-4146,1545-4282,17476,0,15,12.9,9.5,1/84
72,NATURE METHODS,NAT METHODS,NATURE PORTFOLIO,32.1,51.7,31.1,7.32,Q1,BIOCHEMICAL RESEARCH METHODS|Q1|1/85,1548-7091,1548-7105,126671,231,238,8.4,5.4,1/86
72,eLight,ELIGHT,SPRINGERNATURE,32.1,32.2,31.8,7.17,Q1,OPTICS|Q1|2/119,2097-1710,2662-8643,1809,18,21,2.0,6.1,2/125
74,Interdisciplinary Materials,INTERD MATER,WILEY,31.6,31.6,30.7,2.72,Q1,"PHYSICS, APPLIED|Q1|7/179",2767-4401,2767-441X,2501,34,65,2.1,4.6,9/460
75,Annual Review of Organizational Psychology and Organizational Behavior,ANNU REV ORGAN PSYCH,ANNUAL REVIEWS,31.1,25.1,30.9,8.92,Q1,"PSYCHOLOGY, APPLIED|Q1|1/113",2327-0608,2327-0616,6408,3,20,6.7,10.8,1/420
76,LANCET INFECTIOUS DISEASES,LANCET INFECT DIS,ELSEVIER SCI LTD,31.0,26.9,30.4,7.53,Q1,INFECTIOUS DISEASES|Q1|1/132,1473-3099,1474-4457,39986,120,142,5.3,4.7,1/137
77,Cell Metabolism,CELL METAB,CELL PRESS,30.9,33.4,30.4,5.71,Q1,ENDOCRINOLOGY & METABOLISM|Q1|3/186,1550-4131,1932-7420,62544,118,148,7.1,7.6,3/191
78,Energy & Environmental Science,ENERG ENVIRON SCI,ROYAL SOC CHEMISTRY,30.8,35.1,29.6,4.49,Q1,ENVIRONMENTAL SCIENCES|Q1|2/358,1754-5692,1754-5706,124260,630,708,5.5,3.9,2/374
79,Annual Review of Condensed Matter Physics,ANNU REV CONDEN MA P,ANNUAL REVIEWS,30.7,28.7,30.7,1.39,Q1,"PHYSICS, CONDENSED MATTER|Q1|6/79",1947-5454,1947-5462,6123,0,15,6.7,10.7,2/79
80,Annual Review of Fluid Mechanics,ANNU REV FLUID MECH,ANNUAL REVIEWS,30.2,32.6,30.0,3.02,Q1,"PHYSICS, FLUIDS & PLASMAS|Q1|1/40",0066-4189,1545-4479,18806,0,23,15.7,13.9,1/171
81,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,PHYS REP,ELSEVIER,29.5,29.3,29.3,2.30,Q1,"PHYSICS, MULTIDISCIPLINARY|Q1|3/110",0370-1573,1873-6270,37977,0,54,13.9,9.4,3/114
82,Annual Review of Psychology,ANNU REV PSYCHOL,ANNUAL REVIEWS,29.4,34.4,29.2,5.37,Q1,"PSYCHOLOGY, MULTIDISCIPLINARY|Q1|1/218",0066-4308,1545-2085,29863,0,24,14.3,8.9,1/221
83,NATURE GENETICS,NAT GENET,NATURE PORTFOLIO,29.0,37.4,28.2,9.00,Q1,GENETICS & HEREDITY|Q1|2/191,1061-4036,1546-1718,109385,222,236,9.5,6.5,2/191
84,Physiological Reviews,PHYSIOL REV,AMER PHYSIOLOGICAL SOC,28.7,47.7,28.5,5.48,Q1,PHYSIOLOGY|Q1|1/85,0031-9333,1522-1210,38334,0,33,11.2,12.0,1/87
85,Nature Cancer,NAT CANCER,NATURE PORTFOLIO,28.5,28.6,28.0,5.36,Q1,ONCOLOGY|Q1|11/322,N/A,2662-1347,10654,143,155,2.9,6.1,11/326
86,ACM COMPUTING SURVEYS,ACM COMPUT SURV,ASSOC COMPUTING MACHINERY,28.0,26.3,27.6,7.80,Q1,"COMPUTER SCIENCE, THEORY & METHODS|Q1|1/143",0360-0300,1557-7341,34623,253,318,3.6,5.7,1/147
87,NATURE IMMUNOLOGY,NAT IMMUNOL,NATURE PORTFOLIO,27.6,29.2,27.2,5.37,Q1,IMMUNOLOGY|Q1|2/181,1529-2908,1529-2916,56248,254,271,8.5,6.5,3/183
87,Living Reviews in Solar Physics,LIVING REV SOL PHYS,SPRINGER INT PUBL AG,27.6,26.1,27.1,3.12,Q1,ASTRONOMY & ASTROPHYSICS|Q1|3/84,2367-3648,1614-4961,2244,0,1,9.6,15.9,2/84
89,Science Robotics,SCI ROBOT,AMER ASSOC ADVANCEMENT SCIENCE,27.5,32.9,26.8,5.24,Q1,ROBOTICS|Q1|1/46,2470-9476,2470-9476,14245,75,80,4.6,6.7,1/48
90,Nature Climate Change,NAT CLIM CHANGE,NATURE PORTFOLIO,27.1,32.9,26.7,5.83,Q1,METEOROLOGY & ATMOSPHERIC SCIENCES|Q1|1/110,1758-678X,1758-6798,53557,217,236,6.7,5.6,1/191
90,Nature Sustainability,NAT SUSTAIN,NATURE PORTFOLIO,27.1,32.8,26.8,5.20,Q1,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY|Q1|1/91,2398-9629,2398-9629,24660,190,210,4.1,5.4,1/191
92,INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,INT J INFORM MANAGE,ELSEVIER SCI LTD,27.0,23.0,25.7,6.63,Q1,INFORMATION SCIENCE & LIBRARY SCIENCE|Q1|1/160,0268-4012,1873-4707,23587,67,68,4.6,5.6,1/166
92,Wiley Interdisciplinary Reviews-Computational Molecular Science,WIRES COMPUT MOL SCI,WILEY,27.0,18.4,26.9,3.10,Q1,MATHEMATICAL & COMPUTATIONAL BIOLOGY|Q1|1/65,1759-0876,1759-0884,12176,3,30,6.9,7.8,1/67
94,ADVANCED MATERIALS,ADV MATER,WILEY-V C H VERLAG GMBH,26.8,28.9,25.4,3.79,Q1,"PHYSICS, CONDENSED MATTER|Q1|3/79",0935-9648,1521-4095,459817,2822,3224,4.6,4.6,10/460
94,NEW ASTRONOMY REVIEWS,NEW ASTRON REV,ELSEVIER SCI LTD,26.8,13.7,26.7,3.02,Q1,ASTRONOMY & ASTROPHYSICS|Q1|5/84,1387-6473,1872-9630,1642,9,14,8.9,7.3,3/84
94,MATERIALS SCIENCE & ENGINEERING R-REPORTS,MAT SCI ENG R,ELSEVIER SCIENCE SA,26.8,36.7,26.4,1.98,Q1,"PHYSICS, APPLIED|Q1|4/179",0927-796X,1879-212X,11124,25,101,8.2,4.6,10/460
97,NATURE REVIEWS NEUROSCIENCE,NAT REV NEUROSCI,NATURE PORTFOLIO,26.7,36.7,26.5,4.08,Q1,NEUROSCIENCES|Q1|2/310,1471-003X,1471-0048,47681,2,49,12.2,8.7,1/314
98,Nature Biomedical Engineering,NAT BIOMED ENG,NATURE PORTFOLIO,26.6,30.4,26.3,5.36,Q1,"ENGINEERING, BIOMEDICAL|Q1|1/122",2157-846X,2157-846X,20416,129,133,3.8,6.5,2/124
99,ASTRONOMY AND ASTROPHYSICS REVIEW,ASTRON ASTROPHYS REV,SPRINGER,26.5,34.5,26.5,3.42,Q1,ASTRONOMY & ASTROPHYSICS|Q1|1/84,0935-4956,1432-0754,3310,0,7,8.6,12.8,4/84
99,Annual Review of Plant Biology,ANNU REV PLANT BIOL,ANNUAL REVIEWS,26.5,30.5,26.3,2.75,Q1,PLANT SCIENCES|Q1|1/265,1543-5008,1545-2123,23852,0,29,14.4,8.3,1/273
101,Immunity,IMMUNITY,CELL PRESS,26.3,33.2,25.7,5.10,Q1,IMMUNOLOGY|Q1|4/181,1074-7613,1097-4180,75218,142,169,8.2,7.4,4/183
102,PROGRESS IN POLYMER SCIENCE,PROG POLYM SCI,PERGAMON-ELSEVIER SCIENCE LTD,26.1,31.6,25.8,2.17,Q1,POLYMER SCIENCE|Q1|1/94,0079-6700,1873-1619,29638,0,45,10.2,6.2,1/94
103,Advanced Energy Materials,ADV ENERGY MATER,WILEY-V C H VERLAG GMBH,26.0,26.8,24.9,3.51,Q1,"PHYSICS, CONDENSED MATTER|Q1|4/79",1614-6832,1614-6840,157278,1061,1204,4.3,4.1,5/182
104,PROCEEDINGS OF THE IEEE,P IEEE,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,25.9,25.0,25.6,6.00,Q1,"ENGINEERING, ELECTRICAL & ELECTRONIC|Q1|2/352",0018-9219,1558-2256,44868,58,61,13.3,4.8,2/366
104,CELL RESEARCH,CELL RES,SPRINGERNATURE,25.9,36.6,25.7,3.09,Q1,CELL BIOLOGY|Q1|6/205,1001-0602,1748-7838,29251,81,84,7.3,7.4,7/204
106,GUT,GUT,BMJ PUBLISHING GROUP,25.8,25.3,25.0,5.51,Q1,GASTROENTEROLOGY & HEPATOLOGY|Q1|5/143,0017-5749,1468-3288,62303,151,172,7.2,5.6,4/147
107,Innovation,INNOVATION-AMSTERDAM,CELL PRESS,25.7,40.2,24.6,5.02,Q1,MULTIDISCIPLINARY SCIENCES|Q1|4/134,2666-6758,2666-6758,9272,50,58,3.2,4.7,4/135
108,Foundations and Trends in Machine Learning,FOUND TRENDS MACH LE,NOW PUBLISHERS INC,25.4,89.0,25.2,11.13,Q1,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE|Q1|1/197",1935-8237,1935-8245,4667,6,6,6.7,7.8,1/204
109,EUROPEAN UROLOGY,EUR UROL,ELSEVIER,25.2,22.0,24.6,7.04,Q1,UROLOGY & NEPHROLOGY|Q1|2/126,0302-2838,1873-7560,36969,79,93,7.4,5.1,3/133
109,Lancet Public Health,LANCET PUBLIC HEALTH,ELSEVIER SCI LTD,25.2,29.8,24.9,6.60,Q1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q1|2/403",2468-2667,2468-2667,13242,81,89,3.9,5.1,3/419
111,Gastroenterology,GASTROENTEROLOGY,W B SAUNDERS CO-ELSEVIER INC,25.1,26.9,24.5,5.48,Q1,GASTROENTEROLOGY & HEPATOLOGY|Q1|4/143,0016-5085,1528-0012,89848,140,152,8.6,6.3,5/147
112,Advanced Powder Materials,ADV POWDER MATER,KEAI PUBLISHING LTD,24.9,24.9,24.0,5.59,Q1,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|10/438",N/A,2772-834X,2722,56,56,1.7,3.9,13/460
112,Cancer Communications,CANCER COMMUN,WILEY,24.9,22.2,24.6,3.67,Q1,ONCOLOGY|Q1|14/322,N/A,2523-3548,6881,30,49,3.4,5.8,12/326
114,Lancet Psychiatry,LANCET PSYCHIAT,ELSEVIER SCI LTD,24.8,33.0,24.2,7.20,Q1,PSYCHIATRY|Q1|2/276,2215-0374,N/A,20482,61,74,5.1,5.6,2/288
114,FUNGAL DIVERSITY,FUNGAL DIVERS,SPRINGER,24.8,28.3,22.1,6.54,Q1,MYCOLOGY|Q1|1/33,1560-2745,1878-9129,7387,16,17,8.0,11.3,1/32
116,Carbon Energy,CARBON ENERGY,WILEY,24.2,23.0,22.7,2.55,Q1,NANOSCIENCE & NANOTECHNOLOGY|Q1|6/140,N/A,2637-9368,8843,134,180,2.4,4.7,14/460
117,Lancet Digital Health,LANCET DIGIT HEALTH,ELSEVIER,24.1,27.6,23.8,4.49,Q1,"MEDICINE, GENERAL & INTERNAL|Q1|6/325",N/A,2589-7500,8495,71,77,3.1,4.0,1/48
